"","recid","ASVAB_gs","ASVAB_ar","ASVAB_wk","ASVAB_pc","ASVAB_no","ASVAB_cs","ASVAB_asi","ASVAB_mk","ASVAB_mc","ASVAB_ei","RSE1_1980","RSE2_1980","RES3_1980","RES4_1980","RES5_1980","RES6_1980","RES7_1980","RES8_1980","RES9_1980","RES10_1980","ROSENBERG_SCORE_1980","ROTTER_1A_1979","ROTTER_1B_1979","ROTTER_2A_1979","ROTTER_2B_1979","ROTTER_3A_1979","ROTTER_3B_1979","ROTTER_4A_1979","ROTTER_4B_1979","ROTTER_SCORE_1979","med","nsib","race","male","nuclear","urban","moth_age_birth","income","cross_sction","sex","fed","yob","ageASVAB","ageRES","ageROTTER","acgrd_1","acgrd_2","acgrd_3","acgrd_4","acgrd_5","acgrd_6","acgrd_7","acgrd_8","acgrd_9","acgrd_10","acgrd_11","acgrd_12","acgrd_13","_merge"
"1",7,46,45,51,41,49,43,48,46,40,49,1,1,4,2,4,2,1,3,4,3,26,2,1,2,1,1,1,1,2,12,12,1,3,1,0,1,21,16.9969444274902,1,1,12,1964,17,16,15,11,12,12,12,12,12,12,12,12,0,0,0,0,3
"2",9,52,54,52,47,55,50,48,49,48,58,1,1,4,1,4,1,1,4,2,2,26,1,1,1,1,1,1,2,1,4,12,4,3,1,0,1,18,53.1784286499023,1,1,10,1963,18,17,16,11,12,12,12,12,13,13,13,13,14,0,0,0,3
"3",14,52,61,57,62,59,54,51,68,63,56,2,2,4,2,4,2,2,3,2,3,21,1,2,1,1,1,1,2,2,6,12,2,3,0,1,1,32,40.0965232849121,1,2,12,1963,18,17,16,11,12,13,14,15,16,16,16,16,16,0,0,0,3
"4",15,58,59,57,59,58,59,48,48,57,53,2,2,4,2,4,2,2,3,3,4,23,1,1,2,2,1,1,1,2,8,12,1,3,1,1,1,27,65.0251922607422,1,1,12,1964,17,16,15,10,11,12,13,14,15,16,16,16,16,0,0,0,3
"5",21,48,65,59,56,62,61,58,68,63,42,1,1,4,1,4,1,1,3,3,4,28,1,1,1,2,1,1,1,2,7,12,2,3,0,1,1,25,112.113052368164,1,2,18,1961,20,19,18,11,12,13,14,15,15,16,16,16,16,16,16,0,3
"6",22,56,62,56,59,57,49,46,63,61,56,2,2,3,2,3,3,3,3,3,2,17,1,1,2,2,1,2,2,1,7,12,1,3,0,1,1,37,51.0536575317383,1,2,12,1963,18,17,16,11,12,13,14,15,16,16,16,16,16,16,0,0,3
"7",26,64,65,59,59,62,59,67,68,67,70,1,1,4,1,4,2,1,3,2,3,25,1,2,1,1,1,1,1,1,8,16,2,3,1,0,1,22,60.6658973693848,1,1,17,1962,19,18,17,11,12,13,14,14,14,14,15,16,16,16,0,0,3
"8",28,56,66,59,53,60,53,48,68,44,39,1,2,3,2,3,2,2,2,2,3,19,2,1,2,2,2,2,1,2,13,14,1,3,0,1,1,26,78.5160675048828,1,2,20,1964,17,16,15,10,11,11,12,12,12,12,12,12,12,0,0,0,3
"9",35,42,46,54,50,52,53,44,46,50,39,1,1,4,1,4,2,2,3,4,4,27,2,2,1,1,1,2,1,1,10,12,5,3,0,0,0,40,35.5231018066406,1,2,12,1963,18,17,16,11,12,13,13,13,13,13,13,13,13,0,0,0,3
"10",38,38,38,38,44,47,53,44,37,48,34,2,2,4,2,4,2,2,4,2,3,22,1,2,2,1,1,2,2,1,9,12,4,3,0,1,1,32,104.479713439941,1,2,12,1962,19,18,17,10,11,12,12,12,12,12,12,12,12,12,0,0,3
"11",42,48,42,38,38,52,45,48,41,46,42,1,1,3,2,4,2,2,3,4,4,25,1,1,1,1,1,1,1,1,7,14,1,3,1,1,1,22,63.7354049682617,1,1,12,1963,18,17,16,10,11,12,12,12,12,12,12,12,12,0,0,0,3
"12",44,44,49,48,50,52,54,46,43,46,49,2,2,3,2,3,2,2,3,3,3,20,2,2,1,1,1,1,2,2,7,12,4,3,0,1,1,30,79.1926574707031,1,2,12,1961,20,19,18,10,11,12,12,12,12,12,12,12,12,12,12,12,3
"13",46,48,45,52,62,62,66,44,62,52,56,1,1,4,1,4,1,1,4,4,4,30,1,2,1,2,1,2,2,2,8,12,0,3,0,0,1,25,84.359245300293,1,2,12,1962,19,18,17,10,11,12,13,14,15,16,16,16,17,17,0,0,3
"14",61,64,64,61,62,62,65,49,68,63,65,2,2,3,2,3,2,2,3,3,3,20,1,2,1,1,1,1,1,2,7,12,3,3,0,1,1,29,109.285781860352,1,2,16,1962,19,18,17,11,12,12,12,13,13,13,14,14,14,14,0,0,3
"15",62,42,42,48,47,49,37,51,44,46,42,1,2,3,1,3,2,1,2,3,3,22,1,2,2,2,1,1,1,2,9,12,3,3,0,1,0,31,94.6404113769531,1,2,16,1964,17,16,15,11,12,12,12,12,12,12,12,12,0,0,0,0,3
"16",64,58,59,61,59,49,46,46,62,48,56,1,1,4,2,3,1,1,4,4,4,28,2,2,1,2,1,1,2,2,8,15,3,3,1,1,1,27,86.798957824707,1,1,12,1961,20,19,18,11,12,12,12,12,12,12,13,0,0,0,0,0,3
"17",65,46,51,59,53,61,63,42,60,33,39,2,2,3,2,4,1,2,2,1,3,19,2,1,2,2,1,1,1,1,12,16,3,3,0,1,1,29,94.0317459106445,1,2,12,1963,18,17,16,11,12,13,14,15,16,0,0,0,0,0,0,0,3
"18",66,46,36,46,35,35,38,51,41,33,49,2,2,4,2,3,2,2,3,2,3,20,2,2,1,2,1,2,1,1,11,12,3,3,1,1,1,32,69.105354309082,1,1,17,1964,17,16,15,10,11,12,13,14,14,14,14,14,14,0,0,0,3
"19",68,68,66,61,62,61,69,53,68,55,56,1,1,4,1,4,1,1,4,4,3,29,1,1,1,1,1,2,1,2,7,16,1,3,0,1,1,37,107.715599060059,1,2,17,1962,19,18,17,10,11,12,13,14,15,16,16,16,16,16,16,0,3
"20",73,60,50,60,56,52,54,49,57,61,60,1,1,4,1,4,1,1,2,3,3,26,1,1,1,1,1,1,1,2,6,16,2,3,1,0,1,23,149.381851196289,1,1,16,1963,18,17,16,10,11,12,13,14,15,0,0,0,0,0,0,0,3
"21",75,50,47,59,59,56,57,51,57,50,53,1,1,4,1,4,2,2,2,2,3,23,1,2,2,2,2,2,1,2,11,14,3,3,0,1,1,26,94.0317459106445,1,2,16,1962,19,18,17,10,11,12,13,14,15,16,16,16,16,16,16,0,3
"22",77,60,59,55,62,40,47,37,66,52,46,2,1,3,2,3,2,2,4,3,3,22,2,2,1,1,1,1,2,2,7,16,1,3,0,1,1,35,177.956207275391,1,2,16,1964,17,16,15,11,12,13,14,15,16,16,16,16,0,0,0,0,3
"23",102,50,50,44,50,53,50,42,62,37,39,2,2,4,1,4,2,2,3,3,4,24,1,1,1,2,1,1,2,1,5,10,1,3,0,1,1,28,44.8732948303223,1,2,5,1964,17,16,15,11,12,13,14,15,15,15,16,16,0,0,0,0,3
"24",106,58,66,61,53,62,60,49,65,61,63,2,2,4,2,3,2,2,2,3,3,20,1,2,1,1,1,1,2,2,6,12,1,3,1,1,1,25,27.5686016082764,1,1,9,1961,20,19,18,10,11,12,13,14,15,16,16,16,16,16,16,16,3
"25",107,50,51,56,50,62,65,49,54,53,46,1,2,4,2,4,1,2,3,2,2,22,1,1,1,1,1,1,1,1,7,11,2,3,1,1,1,32,104.479713439941,1,1,9,1962,19,18,17,10,11,12,12,13,14,14,15,16,16,16,16,0,3
"26",112,56,39,50,50,46,42,48,44,48,51,1,2,3,2,3,2,2,3,4,4,23,2,2,2,1,1,1,1,1,12,12,3,3,0,1,1,28,33.6424674987793,1,2,8,1963,18,17,16,10,11,11,11,11,11,11,11,11,11,0,0,0,3
"27",120,68,66,60,56,62,56,66,68,57,65,2,2,3,2,3,2,2,3,2,2,18,2,2,1,1,1,2,1,2,9,16,2,3,1,1,0,27,21.9745712280273,1,1,12,1962,19,18,17,10,11,12,13,14,15,16,16,16,16,16,16,0,3
"28",121,58,54,60,59,60,52,49,65,48,51,1,1,4,1,4,1,1,4,4,4,30,1,2,1,1,1,1,2,1,5,17,2,3,0,1,1,29,87.4969711303711,1,2,15,1964,17,16,15,11,12,13,14,15,15,15,16,16,0,0,0,0,3
"29",122,54,54,55,50,56,50,51,49,61,60,2,2,4,2,4,2,2,3,3,3,22,1,1,1,2,1,2,1,2,8,11,1,3,1,1,1,22,37.1929893493652,1,1,10,1961,20,19,18,10,11,12,12,12,12,12,12,12,12,12,12,0,3
"30",123,64,62,57,59,61,58,66,66,68,65,2,2,3,2,3,2,2,3,2,3,19,2,2,2,1,2,2,2,2,12,16,1,3,1,1,1,44,59.9580879211426,1,1,16,1962,19,18,17,11,12,13,14,14,14,0,0,0,0,0,0,0,3
"31",133,46,45,50,56,61,54,42,49,44,32,1,2,4,2,4,2,1,3,3,4,25,1,2,1,2,2,2,2,2,9,10,4,3,0,1,1,32,58.4447593688965,1,2,11,1962,19,18,17,10,11,12,12,12,12,12,12,12,12,12,0,0,3
"32",135,48,45,44,53,49,49,48,41,50,51,2,2,3,2,3,2,2,3,2,2,18,2,2,2,2,1,1,1,2,10,9,5,3,1,1,1,34,66.285400390625,1,1,12,1964,17,16,15,11,12,12,13,13,13,13,13,13,0,0,0,0,3
"33",137,52,64,56,56,62,67,55,66,65,53,1,1,4,1,4,1,2,3,4,3,27,2,2,2,2,1,2,2,2,10,13,4,3,0,1,1,20,100.249458312988,1,2,16,1961,20,19,18,11,12,13,14,14,15,15,15,15,15,16,16,0,3
"34",138,46,58,55,59,60,72,44,65,52,46,2,2,4,2,4,2,2,3,4,4,24,1,2,1,1,1,2,1,2,8,14,4,3,0,1,1,21,111.557800292969,1,2,16,1962,19,18,17,11,12,13,14,15,16,16,16,16,16,16,0,0,3
"35",139,56,58,56,59,49,50,66,46,61,58,1,1,4,1,3,1,1,4,2,3,26,1,1,2,1,1,1,2,1,7,16,4,3,1,1,1,22,113.790580749512,1,1,16,1963,18,17,16,11,12,12,13,14,15,15,15,15,15,0,0,0,3
"36",141,56,54,60,59,51,50,49,62,53,60,1,1,4,1,4,1,1,4,4,4,30,1,1,2,2,1,1,2,1,6,12,2,3,0,1,1,39,81.1062164306641,1,2,16,1962,19,18,17,11,12,13,14,15,16,16,17,17,18,18,0,0,3
"37",143,52,53,59,50,55,47,46,52,38,53,2,2,4,2,4,2,2,3,3,3,22,1,1,2,2,1,2,1,2,9,10,3,3,0,1,1,31,43.8516960144043,1,2,10,1961,20,19,18,11,12,12,12,12,12,12,12,0,0,0,0,0,3
"38",144,42,46,44,38,52,50,44,49,46,37,2,2,3,2,3,2,2,2,3,2,18,2,2,2,2,1,2,1,2,11,9,3,3,0,0,1,34,41.538516998291,1,2,10,1964,17,16,15,11,12,12,12,12,12,12,12,12,0,0,0,0,3
"39",145,54,47,56,53,52,45,46,49,38,51,1,2,3,2,3,2,2,2,2,2,18,2,2,1,2,1,2,1,2,10,12,3,3,1,1,1,19,50.5549125671387,1,1,12,1962,19,18,17,11,11,11,11,12,12,12,12,12,12,12,0,0,3
"40",146,62,65,57,53,46,46,53,62,57,63,2,2,4,2,4,2,2,3,2,4,22,2,1,1,2,2,1,2,2,12,12,3,3,1,1,1,21,40.4413299560547,1,1,12,1964,17,16,15,10,11,12,12,12,12,0,0,0,0,0,0,0,3
"41",147,44,39,46,47,59,62,48,43,42,39,2,2,2,2,3,2,2,3,2,3,18,1,1,2,2,1,2,1,2,9,10,0,3,0,1,0,31,58.0746154785156,1,2,12,1961,20,19,18,11,12,13,14,14,14,14,14,14,14,14,14,0,3
"42",148,62,58,55,56,48,50,60,51,65,56,1,1,4,1,4,1,1,3,3,4,28,1,2,2,1,1,2,1,2,11,12,2,3,1,0,1,17,75.8498229980469,1,1,12,1963,18,17,16,10,11,12,12,12,12,12,12,12,12,12,0,0,3
"43",149,52,45,44,47,50,53,37,44,44,42,2,2,3,2,3,2,2,4,4,4,23,1,2,2,1,1,2,2,2,10,11,2,3,0,0,1,18,96.2551345825195,1,2,12,1964,17,16,15,10,11,12,12,12,12,12,12,12,12,0,0,0,3
"44",152,54,66,59,59,57,59,48,63,52,53,1,1,4,1,4,1,1,3,3,4,28,1,2,1,2,1,1,2,2,7,12,2,3,0,1,1,23,90.0909957885742,1,2,12,1961,20,19,18,11,12,12,12,12,12,12,12,12,12,12,12,0,3
"45",155,56,40,51,47,52,51,57,48,52,58,2,2,3,1,3,2,2,2,3,3,20,1,1,1,1,2,2,1,2,8,12,3,3,1,1,1,23,28.1359310150146,1,1,12,1963,18,17,16,9,9,9,9,9,9,9,9,9,9,0,0,0,3
"46",157,40,46,54,38,62,59,42,57,38,42,1,1,4,2,4,2,2,2,3,4,24,2,2,1,1,2,2,2,2,9,12,2,3,0,1,1,25,112.973419189453,1,2,16,1962,19,18,17,10,11,12,13,14,14,14,14,14,14,14,14,0,3
"47",162,66,65,61,59,53,59,55,66,67,65,2,2,3,2,3,1,2,3,4,3,22,1,1,1,2,1,2,1,2,8,16,2,3,1,1,1,35,67.2678298950195,1,1,17,1961,20,19,18,10,11,12,13,13,14,14,15,15,15,15,15,15,3
"48",163,66,55,59,59,43,56,57,58,57,60,1,2,4,1,3,1,1,3,3,4,26,1,1,1,1,1,2,2,2,6,16,2,3,1,1,1,36,71.1138687133789,1,1,18,1962,19,18,17,10,11,12,13,14,15,15,15,15,15,15,15,0,3
"49",166,60,54,52,50,61,55,58,54,61,68,2,2,3,2,4,2,2,3,2,2,19,1,1,1,2,2,2,1,2,9,10,3,3,1,1,1,31,64.845085144043,1,1,12,1962,19,18,17,10,11,12,12,12,12,12,12,12,12,13,13,0,3
"50",184,56,54,52,56,54,45,53,54,57,53,1,1,3,1,3,2,2,3,3,3,23,1,1,2,2,1,2,2,2,8,12,3,3,0,1,1,24,78.5838623046875,1,2,12,1961,20,19,18,12,12,12,12,12,13,13,13,13,13,13,13,13,3
"51",185,52,46,52,56,38,41,57,48,65,51,2,2,3,2,3,2,2,3,3,2,19,1,2,1,1,2,2,2,2,8,12,3,3,1,1,1,27,113.237884521484,1,1,12,1964,17,16,15,11,12,12,12,12,12,12,12,12,0,0,0,0,3
"52",187,52,46,48,53,48,39,49,49,48,56,1,2,4,2,4,2,3,2,3,4,22,2,2,2,1,1,1,2,2,10,12,2,3,1,1,1,28,78.5224456787109,1,1,12,1964,17,16,15,10,11,12,13,14,15,15,15,15,0,0,0,0,3
"53",190,58,53,56,56,50,65,46,62,44,44,1,1,4,2,4,2,2,4,4,4,27,1,1,1,2,1,1,1,2,7,16,2,3,0,1,1,28,75.8393783569336,1,2,17,1961,20,19,18,10,11,12,13,14,15,15,15,15,15,16,17,0,3
"54",191,60,51,56,62,61,55,42,60,46,49,1,1,4,1,4,1,1,3,4,4,29,2,1,1,1,1,2,1,2,10,16,2,3,1,1,1,30,67.6210021972656,1,1,17,1963,18,17,16,11,12,13,14,15,16,16,17,17,18,0,0,0,3
"55",192,54,53,56,53,56,50,49,63,53,51,2,2,4,2,4,1,2,3,3,3,23,1,1,1,2,1,1,2,2,6,12,1,3,0,1,1,36,62.830078125,1,2,12,1963,18,17,16,11,12,13,14,15,16,16,16,16,16,0,0,0,3
"56",194,54,45,54,53,56,64,49,55,53,53,1,1,3,2,3,2,1,3,3,3,23,1,1,2,2,1,2,2,2,8,12,1,3,1,1,1,24,87.5686111450195,1,1,12,1964,17,16,15,11,12,13,13,14,14,15,16,16,0,0,0,0,3
"57",196,64,64,56,62,62,61,60,66,67,65,2,2,3,2,3,2,2,3,3,3,20,1,1,1,1,1,1,2,1,4,20,1,3,1,1,1,24,64.3706817626953,1,1,16,1964,17,16,15,11,12,13,14,15,16,16,17,17,0,0,0,0,3
"58",197,44,40,37,35,53,52,40,43,37,42,2,2,3,2,3,2,2,2,2,3,18,1,1,1,1,1,2,2,2,6,11,3,3,0,1,1,26,36.6017303466797,1,2,12,1962,19,18,17,11,12,12,12,12,12,12,12,12,12,12,0,0,3
"59",198,58,57,51,44,62,57,48,62,50,51,1,1,4,1,4,2,1,2,3,4,26,2,1,2,1,1,1,2,2,11,16,1,3,1,1,1,27,73.1358032226562,1,1,17,1963,18,17,16,11,12,13,14,14,15,16,17,18,18,0,0,0,3
"60",207,40,49,31,32,44,38,42,43,40,34,2,2,3,2,3,2,2,2,3,3,19,2,2,1,1,2,2,1,2,10,9,2,3,1,0,1,19,31.3439140319824,1,1,10,1963,18,17,16,9,9,9,9,9,9,9,9,9,9,9,0,0,3
"61",211,48,57,46,56,59,58,40,63,44,56,1,1,4,1,4,2,2,3,2,3,24,1,2,2,2,1,2,2,2,9,12,2,3,0,1,0,23,81.9417114257812,1,2,12,1964,17,16,15,10,11,12,13,14,15,16,16,16,16,0,0,0,3
"62",212,58,57,52,50,49,48,62,57,63,58,1,2,4,1,4,1,1,1,4,4,26,1,1,2,1,1,2,2,1,8,12,3,3,1,1,1,23,94.9087066650391,1,1,16,1961,20,19,18,10,11,12,12,12,12,12,12,12,12,12,12,12,3
"63",213,58,65,60,62,62,55,55,68,59,56,2,2,4,2,4,2,2,3,3,2,21,1,1,1,2,1,2,1,2,8,12,3,3,1,1,1,24,94.9087066650391,1,1,16,1962,19,18,17,10,11,12,13,14,15,16,16,16,16,16,0,0,3
"64",214,52,59,47,50,51,45,58,54,53,63,2,2,3,2,3,2,2,3,2,2,18,1,1,2,1,1,2,2,2,9,12,3,3,1,1,0,27,NA,1,1,16,1965,16,15,14,11,12,12,13,13,13,13,13,14,0,0,0,0,3
"65",220,62,62,56,59,62,72,55,68,50,63,1,1,4,2,4,2,2,3,3,4,25,1,2,2,2,1,1,1,2,9,12,1,3,0,1,1,37,131.911209106445,1,2,12,1961,20,19,18,11,12,13,14,14,15,16,17,17,17,18,19,0,3
"66",222,34,35,25,26,20,24,35,37,27,32,3,3,3,3,4,4,3,3,3,4,16,2,1,2,1,1,1,1,1,13,9,6,1,1,0,1,17,12.1481809616089,1,1,NA,1961,20,19,18,9,9,9,9,9,9,9,9,9,9,9,9,0,3
"67",225,30,36,22,32,25,30,37,37,40,39,2,2,4,2,3,2,2,1,3,3,19,1,2,1,1,2,2,2,1,7,9,3,2,1,0,1,19,24.1695995330811,1,1,NA,1961,20,19,18,7,8,9,9,9,9,9,9,9,9,9,9,9,3
"68",229,48,45,46,59,53,60,49,46,48,46,1,2,4,1,4,1,2,2,2,3,23,1,1,2,2,1,1,2,2,7,8,1,3,0,1,1,36,12.4827527999878,1,2,9,1963,18,17,16,10,11,11,11,11,11,11,11,11,11,11,0,0,3
"69",230,48,38,48,50,50,47,49,44,42,51,1,1,4,1,3,1,1,1,3,4,25,2,2,2,2,1,1,1,2,10,12,2,3,1,1,0,33,83.1830215454102,1,1,8,1964,17,16,15,10,11,12,12,12,13,13,13,13,0,0,0,0,3
"70",232,54,46,57,53,52,49,60,52,53,58,2,2,3,2,3,2,2,3,2,2,18,2,2,2,1,1,2,1,1,13,10,3,3,1,1,0,26,82.5276336669922,1,1,14,1961,20,19,18,11,12,12,13,14,14,14,14,14,14,14,14,0,3
"71",233,42,43,39,35,47,48,55,46,55,49,2,2,3,2,3,2,2,2,3,4,20,2,2,2,1,1,2,1,2,12,10,3,3,1,1,1,29,59.5038032531738,1,1,15,1964,17,16,15,10,11,12,12,12,12,12,12,12,12,0,0,0,3
"72",235,56,55,50,47,54,53,64,63,63,56,1,1,4,1,4,1,2,3,3,4,27,2,2,2,2,1,2,2,1,9,12,3,3,1,1,0,21,48.1042594909668,1,1,12,1963,18,17,16,10,11,12,13,14,15,15,15,15,15,15,0,0,3
"73",236,54,50,55,59,62,54,49,55,50,46,1,1,4,1,4,1,1,4,4,4,30,1,1,1,1,1,1,2,1,4,9,1,3,0,1,0,38,75.1870956420898,1,2,12,1961,20,19,18,10,11,12,13,13,13,13,13,13,13,13,13,0,3
"74",245,60,65,55,56,62,62,51,65,59,53,2,2,3,2,4,2,2,2,2,3,19,2,2,1,2,2,2,1,2,11,14,3,3,0,1,0,35,96.9615783691406,1,2,12,1962,19,18,17,11,12,13,14,14,14,14,14,14,14,14,0,0,3
"75",246,60,65,50,53,48,50,57,68,65,53,2,2,3,2,3,2,2,3,2,2,18,1,2,1,2,1,2,2,2,8,12,3,3,1,1,0,37,59.909538269043,1,1,12,1964,17,16,15,10,11,12,13,14,15,16,17,17,17,0,0,0,3
"76",255,46,59,41,47,62,62,42,52,48,39,2,2,4,2,3,2,2,3,2,2,19,1,1,1,1,1,2,2,2,6,10,4,3,0,1,1,22,25.8706359863281,1,2,8,1962,19,18,17,11,12,12,12,12,12,12,12,12,12,12,0,0,3
"77",256,50,49,51,59,50,60,40,48,46,46,2,2,3,2,4,2,2,3,3,3,21,2,1,1,1,1,2,1,2,10,11,2,3,0,1,1,20,32.6792144775391,1,2,9,1961,20,19,18,11,12,12,12,12,12,12,12,12,12,12,12,0,3
"78",260,66,61,60,53,62,56,69,66,67,68,1,1,4,1,4,1,1,4,2,4,28,1,2,2,1,1,2,2,2,10,12,3,3,1,1,1,37,79.5319747924805,1,1,18,1961,20,19,18,10,11,12,13,14,14,14,14,14,14,14,14,14,3
"79",261,60,58,55,50,62,55,60,58,57,65,1,1,4,1,4,1,1,4,4,4,30,1,1,2,2,1,1,2,2,7,12,3,3,1,1,1,39,89.8525543212891,1,1,8,1963,18,17,16,10,11,12,12,12,13,14,14,14,14,14,0,0,3
"80",263,48,49,46,53,38,51,58,49,59,53,2,1,4,1,4,1,1,4,4,4,29,1,1,1,1,1,1,2,1,4,12,4,3,1,1,1,28,78.285888671875,1,1,12,1962,19,18,17,10,11,12,12,12,12,12,12,12,12,12,12,0,3
"81",265,60,66,56,62,58,59,48,68,50,58,1,1,4,2,3,1,1,3,3,3,25,1,1,1,2,1,1,2,2,6,12,0,3,0,0,1,20,72.8664779663086,1,2,NA,1962,19,18,17,11,12,13,14,15,16,16,16,16,16,16,0,0,3
"82",270,48,62,50,56,49,47,66,60,59,60,2,2,3,2,3,2,2,3,3,3,20,1,2,1,1,1,1,2,1,5,12,3,3,1,1,1,32,44.623119354248,1,1,16,1962,19,18,17,11,11,12,12,12,12,12,12,12,0,0,0,0,3
"83",271,44,47,46,50,54,51,51,51,42,42,2,1,4,2,4,1,2,4,3,3,25,1,2,2,2,1,1,2,2,8,12,3,3,0,1,1,34,32.3221054077148,1,2,16,1964,17,16,15,10,11,12,13,14,14,15,16,17,17,0,0,0,3
"84",276,40,50,50,56,47,44,42,44,46,44,2,2,4,2,3,2,2,3,3,3,21,2,2,1,2,1,1,1,2,9,12,1,3,0,1,1,31,47.5155944824219,1,2,13,1961,20,19,18,11,12,12,12,12,12,12,12,12,12,12,12,0,3
"85",279,54,45,60,50,46,45,64,46,53,58,2,2,4,2,3,2,2,3,3,3,21,1,2,1,1,1,1,2,2,6,12,1,3,1,1,1,24,79.75537109375,1,1,14,1962,19,18,17,11,12,12,12,12,12,12,12,12,12,12,0,0,3
"86",281,60,65,54,50,62,51,51,65,53,58,2,2,4,2,3,2,2,4,3,3,22,1,2,2,2,1,1,2,2,8,13,3,3,1,1,1,21,65.9938812255859,1,1,13,1961,20,19,18,11,12,13,14,15,16,16,16,17,17,17,17,0,3
"87",282,54,59,51,59,62,54,48,66,48,44,1,2,3,2,4,2,2,2,2,3,20,2,2,2,1,2,2,1,2,13,13,3,3,0,1,1,23,71.6044692993164,1,2,13,1963,18,17,16,11,12,13,14,15,16,16,16,16,16,0,0,0,3
"88",285,44,35,33,44,60,50,31,44,37,42,2,2,4,2,3,2,1,2,4,4,23,1,2,1,2,2,2,1,1,11,8,5,2,0,1,1,24,98.7807540893555,1,2,12,1961,20,19,18,10,10,10,10,10,10,10,10,10,10,10,10,10,3
"89",289,38,34,46,53,49,58,44,40,46,39,2,2,4,2,4,1,2,4,4,4,26,1,1,2,2,1,2,2,2,8,11,4,3,0,1,1,31,32.9901161193848,1,2,8,1962,19,18,17,12,12,12,12,12,12,12,12,12,12,12,0,0,3
"90",294,54,42,59,59,43,49,49,48,53,49,1,2,4,1,4,2,2,3,3,3,24,1,1,1,1,1,1,2,2,5,12,3,3,0,1,1,34,56.056526184082,1,2,18,1961,20,19,18,11,12,12,12,12,12,0,0,0,0,0,0,0,3
"91",295,52,45,47,35,39,44,48,40,52,53,2,2,3,1,2,2,2,2,4,4,21,1,2,2,2,1,1,1,2,9,12,1,3,1,0,1,19,8.0390157699585,1,1,12,1963,18,17,16,10,10,10,10,10,10,10,10,10,0,0,0,0,3
"92",298,34,42,33,26,48,43,33,40,38,30,2,2,3,2,2,3,2,2,2,1,14,2,2,1,2,1,1,2,2,8,6,4,2,0,0,1,22,9.18486976623535,1,2,12,1964,17,16,15,9,10,11,12,12,12,12,12,0,0,0,0,0,3
"93",300,34,34,26,26,29,42,24,38,42,42,2,2,3,2,3,3,2,2,3,3,18,1,2,2,1,1,2,1,2,11,2,2,2,1,1,1,26,9.55040264129639,1,1,6,1961,20,19,18,8,9,10,10,10,10,10,10,10,0,0,0,0,3
"94",301,44,39,44,47,46,48,40,40,50,49,2,2,3,2,3,2,3,3,2,3,18,1,1,2,2,1,2,1,2,9,5,5,2,1,0,1,20,17.872859954834,1,1,NA,1961,20,19,18,11,12,12,12,12,12,12,12,12,12,12,12,0,3
"95",303,28,40,31,29,30,34,39,33,38,49,2,2,3,2,3,3,2,2,3,3,18,1,1,1,2,2,2,1,1,10,4,6,2,1,1,1,22,10.6966314315796,1,1,NA,1963,18,17,16,11,11,12,12,12,12,12,12,12,12,0,0,0,3
"96",304,40,36,26,29,29,34,31,38,37,34,2,2,3,3,3,3,2,2,2,3,16,2,1,1,1,1,1,2,1,7,5,5,2,1,0,1,23,72.5996017456055,1,1,NA,1964,17,16,15,10,10,11,11,11,11,11,11,11,0,0,0,0,3
"97",308,42,40,38,26,46,42,44,41,38,44,2,2,3,2,3,2,2,3,3,3,20,2,1,2,1,2,1,1,1,16,12,1,3,1,1,0,23,71.1815338134766,1,1,12,1961,20,19,18,11,12,12,12,12,12,12,12,12,12,0,0,0,3
"98",313,62,42,50,41,49,48,55,41,44,51,1,1,4,1,4,1,1,3,4,4,29,1,1,1,2,1,2,2,1,6,11,3,3,1,1,1,23,37.8460655212402,1,1,10,1963,18,17,16,11,11,11,11,11,11,11,11,11,11,0,0,0,3
"99",316,38,39,34,47,47,44,51,37,29,46,2,2,4,2,3,2,2,2,2,3,19,1,2,1,2,2,1,1,2,11,12,2,3,1,1,1,25,41.244384765625,1,1,12,1964,17,16,15,10,11,12,12,12,12,12,12,12,12,0,0,0,3
"100",318,36,42,35,38,39,48,49,38,42,49,2,2,3,1,4,1,2,3,3,3,23,2,2,1,1,1,2,1,1,10,12,2,3,1,1,1,31,56.9111404418945,1,1,12,1963,18,17,16,11,12,12,12,12,12,12,12,12,12,0,0,0,3
"101",324,30,40,30,29,42,40,44,40,44,44,2,2,3,2,3,3,2,2,2,2,16,1,2,2,2,1,1,1,2,9,12,3,3,1,1,1,28,62.6878280639648,1,1,12,1962,19,18,17,9,9,9,9,9,9,9,9,9,9,9,9,0,3
"102",325,50,58,47,59,54,58,40,55,40,42,1,1,3,2,4,2,2,3,3,4,24,2,1,1,2,2,1,1,2,13,12,3,3,1,1,1,31,36.7832450866699,1,1,12,1964,17,16,15,11,12,13,14,15,15,15,15,15,0,0,0,0,3
"103",329,32,34,33,32,23,27,37,43,35,39,2,2,3,2,3,2,2,3,2,3,19,2,2,2,2,2,1,2,2,12,12,3,2,1,1,1,23,7.64460945129395,1,1,NA,1964,17,16,15,8,8,8,8,8,8,0,0,0,0,0,0,0,3
"104",331,32,39,24,29,47,45,37,35,31,46,1,2,3,2,3,2,2,3,3,3,21,1,2,2,1,1,2,2,1,9,5,10,2,1,0,0,22,13.0192728042603,1,1,NA,1961,20,19,18,9,9,9,9,9,9,9,9,9,9,9,9,0,3
