"","recid","ASVAB_gs","ASVAB_ar","ASVAB_wk","ASVAB_pc","ASVAB_no","ASVAB_cs","ASVAB_asi","ASVAB_mk","ASVAB_mc","ASVAB_ei","RSE1_1980","RSE2_1980","RES3_1980","RES4_1980","RES5_1980","RES6_1980","RES7_1980","RES8_1980","RES9_1980","RES10_1980","ROSENBERG_SCORE_1980","ROTTER_1A_1979","ROTTER_1B_1979","ROTTER_2A_1979","ROTTER_2B_1979","ROTTER_3A_1979","ROTTER_3B_1979","ROTTER_4A_1979","ROTTER_4B_1979","ROTTER_SCORE_1979","med","nsib","race","male","nuclear","urban","moth_age_birth","income","cross_sction","sex","fed","yob","ageASVAB","ageRES","ageROTTER","acgrd_1","acgrd_2","acgrd_3","acgrd_4","acgrd_5","acgrd_6","acgrd_7","acgrd_8","acgrd_9","acgrd_10","acgrd_11","acgrd_12","acgrd_13","_merge"
"1149",3296,38,62,57,47,53,40,44,54,50,53,2,2,4,2,3,2,3,3,3,3,20,1,2,1,2,1,1,2,2,7,10,0,3,1,0,1,29,17.1584091186523,1,1,8,1961,20,19,18,8,8,8,8,8,8,8,8,8,8,8,0,0,3
"1150",3304,62,57,61,53,46,54,42,62,55,58,1,1,4,1,4,2,2,2,3,3,24,2,2,1,1,1,2,2,1,7,16,4,2,0,1,1,21,59.317943572998,1,2,20,1961,20,19,18,11,12,13,13,13,13,13,13,13,13,13,13,0,3
"1151",3305,56,47,57,56,58,37,49,55,46,51,2,2,3,1,3,2,2,4,2,2,20,1,1,2,1,1,1,2,2,8,16,4,2,0,1,1,24,87.1228179931641,1,2,20,1964,17,16,15,11,12,13,14,15,15,15,15,15,0,0,0,0,3
"1152",3306,38,35,37,47,43,38,31,44,38,44,1,2,4,2,4,1,1,3,2,2,23,1,2,2,2,1,1,1,2,9,10,6,1,0,0,1,22,6.6285400390625,1,2,8,1963,18,17,16,10,11,11,11,11,11,12,12,12,12,0,0,0,3
"1153",3309,60,59,61,59,62,60,39,68,42,46,1,1,4,1,4,2,2,3,2,3,24,1,1,1,1,1,1,2,2,5,12,3,1,0,1,1,34,79.1926574707031,1,2,15,1961,20,19,18,10,11,12,13,14,15,16,17,17,17,0,0,0,3
"1154",3310,38,40,35,50,37,42,40,43,40,39,1,1,3,2,3,2,2,3,3,4,23,1,2,2,1,1,2,2,2,10,12,0,1,1,0,1,19,23.3563575744629,1,1,12,1962,19,18,17,10,11,11,11,11,11,11,11,11,11,11,0,0,3
"1155",3311,30,46,34,38,37,39,46,43,31,42,1,2,4,1,4,2,1,2,3,4,25,1,1,2,1,1,1,2,2,8,12,4,1,1,1,1,22,29.155517578125,1,1,11,1961,20,19,18,11,11,11,11,11,11,11,11,11,11,11,11,0,3
"1156",3312,30,35,41,35,41,49,33,38,40,37,2,2,3,2,3,2,2,3,3,3,20,2,2,1,2,1,2,2,2,9,13,1,1,0,1,1,19,47.4773216247559,1,2,12,1961,20,19,18,10,11,12,13,14,14,14,15,15,15,15,0,0,3
"1157",3317,32,34,22,35,49,35,35,37,33,34,1,2,3,2,2,2,2,2,2,3,18,1,2,2,2,1,2,1,2,10,13,5,1,0,0,1,23,46.3277053833008,1,2,12,1961,20,19,18,9,9,9,9,10,10,10,10,10,10,11,11,11,3
"1158",3318,28,32,28,35,29,25,37,37,37,32,2,2,3,2,3,2,2,2,3,3,19,1,1,1,1,1,2,1,2,7,13,5,1,1,1,1,23,27.9436931610107,1,1,12,1961,20,19,18,7,7,7,7,7,7,7,7,7,7,7,7,7,3
"1159",3323,44,38,52,47,44,46,39,41,33,42,1,1,4,2,4,1,1,3,2,4,26,1,1,2,1,1,2,2,1,8,11,3,1,1,0,1,35,21.3544597625732,1,1,12,1962,19,18,17,11,12,13,13,13,13,13,13,13,13,13,14,0,3
"1160",3326,28,36,29,23,30,28,31,38,31,30,1,1,4,1,4,1,3,3,3,3,25,2,1,1,1,1,1,2,1,7,12,4,1,1,0,1,17,12.5375652313232,1,1,12,1963,18,17,16,8,8,8,9,9,9,9,9,9,9,0,0,0,3
"1161",3330,34,42,39,38,37,39,53,40,38,46,2,2,3,1,4,1,2,1,2,3,20,1,2,1,1,2,2,2,2,8,5,2,3,1,1,1,22,49.9309120178223,1,1,12,1964,17,16,15,10,11,12,12,12,12,12,12,13,0,0,0,0,3
"1162",3337,52,64,57,59,61,56,49,55,59,53,1,1,4,1,4,2,1,3,4,4,28,1,2,1,1,1,2,2,2,7,12,3,3,0,1,1,37,97.8767395019531,1,2,8,1961,20,19,18,11,12,13,14,15,16,16,16,16,0,0,0,0,3
"1163",3339,50,53,56,62,49,54,40,66,42,44,1,1,4,1,4,2,1,4,3,4,28,1,1,1,1,1,1,2,1,4,12,2,3,0,1,1,33,50.1247291564941,1,2,12,1961,20,19,18,11,12,12,12,12,12,12,12,12,12,12,12,0,3
"1164",3341,38,42,56,53,41,41,40,38,48,37,1,1,4,1,4,2,2,3,3,3,25,1,2,1,2,1,2,2,2,8,11,5,3,0,1,1,29,41.5531806945801,1,2,12,1961,20,19,18,11,12,13,14,15,16,16,16,16,16,16,17,0,3
"1165",3343,34,40,43,44,47,54,46,35,48,39,2,2,3,2,4,2,2,3,2,2,19,2,2,2,1,2,2,1,1,14,10,1,3,0,1,1,21,59.8001251220703,1,2,10,1964,17,16,15,10,10,10,10,10,10,10,10,10,10,0,0,0,3
"1166",3346,42,40,38,29,48,49,40,41,38,39,2,2,3,1,3,3,2,2,2,1,16,1,2,2,1,1,2,2,1,9,12,2,3,1,1,1,25,61.3680686950684,1,1,12,1963,18,17,16,10,11,12,12,12,12,0,0,0,0,0,0,0,3
"1167",3349,42,34,38,50,44,32,39,41,35,32,2,2,3,2,4,2,2,3,2,2,19,2,1,2,1,1,1,1,2,12,12,6,3,0,1,1,24,84.47216796875,1,2,12,1961,20,19,18,11,12,12,12,12,12,12,12,12,12,12,12,0,3
"1168",3350,44,51,50,44,47,48,44,60,44,53,1,1,4,2,4,2,2,2,2,3,22,2,1,1,1,1,1,2,2,8,12,6,3,0,1,1,26,67.9114227294922,1,2,12,1963,18,17,16,11,12,13,14,14,14,14,14,14,14,0,0,0,3
"1169",3352,58,55,54,56,61,60,57,63,61,51,1,2,4,1,4,2,2,3,2,2,22,1,2,1,2,1,2,1,2,9,12,4,3,0,1,1,33,78.090461730957,1,2,12,1962,19,18,17,11,12,13,14,15,16,16,16,16,16,16,0,0,3
"1170",3353,38,43,38,38,40,38,64,38,48,39,1,1,4,1,4,2,2,2,4,4,26,2,1,2,1,1,1,1,2,12,13,3,3,1,1,1,20,69.907585144043,1,1,14,1961,20,19,18,9,10,11,12,12,12,12,12,12,12,12,12,12,3
"1171",3354,48,49,48,44,50,38,53,46,38,58,1,1,4,1,4,2,1,1,4,3,25,1,2,1,1,1,2,2,1,6,13,3,3,1,1,1,21,77.3826522827148,1,1,14,1962,19,18,17,11,12,13,13,13,13,13,13,13,13,13,0,0,3
"1172",3356,52,49,51,53,46,34,57,40,59,58,1,2,3,4,2,2,4,2,1,1,11,2,1,1,2,1,1,2,2,9,12,4,3,1,0,1,27,36.8320617675781,1,1,12,1961,20,19,18,9,9,9,9,10,10,10,11,12,12,12,12,12,3
"1173",3357,52,57,47,47,54,37,39,44,37,37,1,1,4,1,3,1,1,4,2,4,27,1,2,1,1,1,2,2,2,7,12,5,3,1,0,1,25,74.3636322021484,1,1,18,1964,17,16,15,10,11,12,13,14,15,15,16,17,0,0,0,0,3
"1174",3360,40,47,51,50,52,45,42,57,52,42,2,2,3,2,3,2,2,3,2,2,18,2,2,1,2,1,2,1,2,10,12,2,3,0,1,1,23,59.6360092163086,1,2,15,1964,17,16,15,11,12,13,14,15,16,16,16,16,0,0,0,0,3
"1175",3361,58,54,54,59,49,50,58,54,59,60,2,2,3,2,4,2,2,4,4,4,24,2,2,2,1,2,2,1,2,13,12,2,3,1,1,1,22,94.6934280395508,1,1,16,1963,18,17,16,11,12,12,12,13,14,14,15,15,16,0,0,0,3
"1176",3363,50,47,59,50,56,54,39,63,59,44,2,2,4,2,3,2,2,3,4,3,22,1,2,2,2,1,2,2,2,9,11,2,3,0,1,1,20,51.6951789855957,1,2,12,1964,17,16,15,10,11,12,12,12,12,12,12,12,12,0,0,0,3
