"","recid","ASVAB_GS","ASVAB_AR","ASVAB_WK","ASVAB_PC","ASVAB_NO","ASVAB_CS","ASVAB_AI","ASVAB_SI","ASVAB_MK","ASVAB_MC","ASVAB_EI","ASVAB_AO","sex","moth_age_birth","cross_sction","med","race","nsib","nuclear","urban","income","fed","yob","AGE_ASVAB","acgrd_1","acgrd_2","acgrd_3","acgrd_4","acgrd_5","acgrd_6","acgrd_7","acgrd_8","acgrd_9","acgrd_10","acgrd_11","acgrd_12","acgrd_13","_merge"
"747",2080,893,505,432,1114,19776,8065,-592,-62,1310,351,-413,1092,2,35,1,12,4,2,1,1,69.194694519043,12,1982,17,10,11,12,13,14,15,16,16,16,16,16,0,0,3
"748",2082,10,-618,125,704,10582,4385,-1831,-1153,-1457,-251,-893,783,1,29,1,16,4,2,1,1,136.056060791016,16,1982,17,10,10,11,11,11,11,11,11,12,12,12,0,0,3
"749",2083,440,-407,1103,1174,21103,5981,-275,-918,-35,-538,118,-769,2,36,1,13,4,2,1,1,39.8000907897949,19,1981,18,11,12,13,14,14,15,16,16,16,16,17,17,0,3
"750",2084,785,-483,855,547,16518,8171,-643,-1026,661,119,-342,-1947,2,37,1,13,4,2,1,1,7.80000019073486,19,1982,17,11,12,13,14,15,16,16,17,17,17,17,0,0,3
"751",2085,1264,1298,2547,1054,31088,10781,-1337,-1343,1361,-37,-35,-414,2,29,1,16,4,3,1,1,77.7394027709961,14,1981,18,11,12,13,14,15,16,16,16,16,16,16,16,0,3
"752",2089,770,888,1128,793,16580,8072,-587,-618,632,-98,112,757,1,24,1,16,4,3,1,1,111.667686462402,16,1981,18,11,12,13,14,15,16,16,16,16,16,17,18,0,3
"753",2090,1365,936,632,1588,22088,11034,-1216,-10,1868,351,-303,1466,2,26,1,16,4,3,1,1,117.966087341309,16,1983,16,11,12,13,14,15,16,16,16,17,17,0,0,0,3
"754",2091,344,1348,686,913,24480,13561,-1072,-1106,1971,70,-498,366,2,31,1,16,4,3,1,1,6.4610538482666,16,1981,18,11,12,13,14,15,16,17,18,18,19,20,20,0,3
"755",2092,1271,606,18,179,17743,8029,-1265,-1185,1552,-28,-286,933,1,27,1,16,4,4,1,1,70.2674789428711,16,1982,17,10,11,12,13,14,15,16,16,17,18,18,0,0,3
"756",2094,-491,200,-1008,-680,17212,8004,-1968,-558,586,-604,-779,67,2,27,1,16,4,2,1,1,277.94970703125,14,1983,16,11,12,12,12,12,12,12,12,12,12,0,0,0,3
"757",2095,-522,-422,-595,-610,27303,4079,-514,-1108,-360,-655,-775,-586,1,25,1,13,4,2,1,1,42.5,12,1982,17,11,12,12,12,12,12,12,12,12,12,0,0,0,3
"758",2096,546,258,514,386,19304,7429,-557,38,502,308,33,398,1,19,1,16,4,1,0,1,50.2063789367676,12,1983,16,11,12,12,12,12,12,12,12,12,12,0,0,0,3
"759",2097,-1284,-892,-452,-485,11044,2588,-1979,-1416,-1173,-835,-1627,-431,2,18,1,12,1,2,0,1,14.3238372802734,16,1980,19,11,11,11,11,11,11,11,11,11,11,11,11,11,3
"760",2099,507,-101,712,1101,5416,-723,-434,484,-305,-178,1100,-1156,1,15,1,10,1,4,0,1,38.7663230895996,NA,1981,18,8,8,8,8,8,8,8,8,8,8,8,8,0,3
"761",2102,-937,-147,-847,-799,20313,10282,-1710,-1331,172,-594,-5,1495,2,24,1,12,1,5,0,1,23.5263996124268,12,1980,19,10,10,11,11,11,11,11,11,11,11,11,11,11,3
"762",2105,-1138,-1113,-839,-940,18208,8391,-1538,-1667,-577,-1123,-802,-988,2,30,1,12,1,2,0,1,57.0640258789062,NA,1981,18,10,11,12,13,14,14,14,14,14,14,14,14,0,3
"763",2107,-1075,51,-734,279,24188,3963,-1087,-1522,614,-677,-1405,81,2,17,1,13,1,2,0,1,20.3999996185303,12,1982,17,11,12,13,14,15,16,16,16,16,16,16,0,0,3
"764",2108,-1305,-742,-1085,-1606,12596,5232,-804,-151,-1250,-619,-2299,-596,1,29,1,12,1,2,0,1,59.6361694335938,NA,1982,17,11,12,12,12,12,12,12,12,12,12,12,0,0,3
"765",2112,1592,1197,803,1692,22739,6191,-77,1274,1581,360,728,830,2,24,1,16,4,2,1,0,58.5741119384766,12,1981,18,10,11,12,13,14,15,16,16,16,16,16,17,0,3
"766",2117,430,-951,-542,103,15360,4487,-1410,-1196,196,-444,-472,-1279,2,18,1,10,4,3,0,1,20.6403999328613,11,1982,17,10,11,11,11,11,11,11,11,11,11,11,0,0,3
"767",2119,-104,-533,-1030,-2249,13401,3156,752,301,153,-702,500,-1713,1,20,1,12,4,3,0,0,8.281907081604,NA,1980,19,9,10,10,10,10,10,10,10,10,10,10,10,10,3
"768",2120,415,59,-136,126,9757,3596,-694,91,41,170,-854,828,1,29,1,14,4,2,1,1,133.240005493164,17,1983,16,10,11,12,12,13,14,14,14,14,14,0,0,0,3
"769",2122,96,-1306,18,-305,11529,4253,-1116,-1071,-517,-790,-1036,-94,1,33,1,14,4,3,0,1,4.66807270050049,17,1983,16,11,11,11,11,11,11,11,11,11,11,0,0,0,3
"770",2133,151,739,1050,1089,28285,12561,-1078,-583,1050,229,-414,917,2,25,1,12,4,2,1,1,3.16000008583069,16,1982,17,11,12,13,14,15,16,17,17,17,17,17,0,0,3
"771",2136,-812,-359,-1002,-429,17881,7593,-1394,-40,824,-576,-539,1526,1,22,1,16,4,4,0,1,17.4864101409912,NA,1982,17,10,11,12,12,12,12,12,12,12,12,12,0,0,3
"772",2137,-244,-807,-400,14,9781,4016,-346,-258,106,119,-1321,-58,1,31,1,14,4,1,0,1,62.8125686645508,13,1982,17,10,11,11,12,12,12,12,12,12,12,12,0,0,3
"773",2138,551,454,413,-72,17798,6388,-481,420,441,134,-5,-576,1,22,1,12,4,1,1,1,57.2522850036621,12,1980,19,10,10,10,10,10,10,10,10,10,10,10,10,10,3
"774",2140,867,886,414,981,22880,4087,-494,540,1234,709,-76,1166,2,25,1,12,4,3,1,1,67.7139129638672,14,1981,18,11,12,13,14,15,16,16,16,16,16,16,16,0,3
"775",2142,-825,-359,-152,-435,10154,6631,-1036,-299,146,-837,-1011,493,2,23,1,12,4,3,1,1,43.4290161132812,12,1983,16,8,8,9,9,9,9,9,9,9,9,0,0,0,3
"776",2146,-308,1928,58,1041,27619,10793,-415,-1173,1486,-393,-1357,794,2,32,1,16,4,2,1,1,264.413818359375,16,1983,16,11,12,12,13,14,14,14,14,14,0,0,0,0,3
"777",2147,1297,1055,1506,601,18470,4839,1060,684,1281,1269,1744,645,1,27,1,14,4,1,1,1,11.3714542388916,14,1981,18,11,12,13,13,13,14,14,14,14,15,16,17,0,3
"778",2148,106,-1230,-6,-97,17220,5993,-840,-941,43,-1396,-961,5,2,24,1,12,4,3,1,1,356.998809814453,18,1980,19,10,10,10,10,10,10,10,10,10,10,10,10,10,3
"779",2152,635,1015,425,1109,26327,11011,-659,-200,1653,868,-740,948,2,23,1,16,4,1,0,1,44.1788940429688,16,1980,19,11,12,12,13,14,15,16,16,16,16,16,16,16,3
"780",2153,15,-189,-618,547,15067,4108,-1329,-918,-456,-415,-977,-138,2,34,1,14,4,2,0,1,20,12,1982,17,11,12,12,12,12,12,12,12,12,12,12,0,0,3
"781",2154,-690,-1086,-467,-987,13744,3254,-468,-783,-1176,-760,-591,-1463,1,12,1,10,4,2,0,1,7.72405862808228,9,1980,19,10,10,10,10,10,10,10,10,10,10,10,10,10,3
"782",2156,258,338,692,673,18394,5022,-1412,-1187,293,-583,-296,-619,2,17,1,12,4,3,0,1,20.6753730773926,NA,1981,18,9,9,9,9,9,9,9,9,9,9,9,9,0,3
"783",2157,-638,-277,159,-482,13529,4661,-891,-438,-1092,-1733,-820,-1159,2,24,1,8,4,5,0,1,85.2859115600586,10,1981,18,8,8,8,8,8,8,8,8,8,8,9,9,0,3
"784",2158,-2595,-2094,-3068,-1727,1783,0,-2268,-1926,-2097,-2034,-1854,-1723,1,25,1,8,4,5,0,1,13.3454570770264,10,1983,16,10,11,12,12,12,12,12,12,0,0,0,0,0,3
"785",2159,-920,-955,-852,-779,13698,4031,-1988,-905,-786,-995,-1939,-1847,1,19,1,10,4,3,0,1,8.63592624664307,NA,1982,17,11,12,12,13,13,13,13,13,13,13,13,0,0,3
"786",2160,-833,-49,-1069,-933,23459,7924,-1044,-1102,-568,-2519,-2030,-1633,2,31,1,14,2,1,0,1,13.2507352828979,12,1983,16,10,11,12,12,12,12,12,12,12,12,0,0,0,3
"787",2163,1896,1230,550,898,23487,10846,173,332,1986,147,0,439,2,35,1,16,4,1,1,1,102.489028930664,17,1980,19,11,12,13,14,15,16,16,16,16,16,16,16,16,3
"788",2164,248,354,-139,683,22352,5141,-1178,-1221,1295,-230,-619,779,1,33,1,16,4,2,1,1,136.5,16,1982,17,11,12,13,14,14,15,15,15,15,15,15,0,0,3
"789",2171,-187,225,434,192,9995,10702,-1327,-918,525,-1107,-570,-1041,2,19,1,20,4,3,0,1,10.221134185791,16,1983,16,11,12,13,14,15,16,16,16,16,16,0,0,0,3
"790",2173,-976,535,47,-361,25709,6531,-1255,-1817,218,-1029,-1428,-978,1,27,1,16,4,3,0,1,73.848518371582,NA,1980,19,10,11,11,11,11,11,11,11,11,11,11,11,11,3
"791",2174,99,356,-234,814,18553,8266,-1595,-901,424,-287,-1058,303,2,20,1,12,4,2,1,1,47.5533561706543,10,1981,18,11,12,13,13,13,13,14,0,0,0,0,0,0,3
"792",2176,-74,-40,-790,463,22325,8678,-922,-896,911,-705,-890,-60,2,23,1,12,4,2,0,1,28.6870784759521,12,1981,18,11,11,12,12,12,12,12,12,12,12,12,12,0,3
"793",2182,-76,889,132,1298,31185,11324,-973,-654,1632,405,-818,962,1,22,1,14,4,3,1,1,13.4389915466309,14,1981,18,11,12,13,14,15,16,16,16,16,16,16,16,0,3
"794",2183,-416,1094,-14,789,29312,10113,-911,-691,1359,112,-1108,1491,1,23,1,14,4,3,1,1,119.162284851074,14,1983,16,11,12,13,14,15,16,16,16,16,16,0,0,0,3
"795",2185,45,-588,-225,-639,15448,5294,-1115,-549,141,-885,21,-415,1,33,1,12,4,1,1,1,90,13,1982,17,11,12,12,12,12,12,12,12,12,12,12,0,0,3
"796",2187,217,334,143,304,22873,8864,-1393,-357,1270,-225,56,963,1,29,1,12,4,2,1,1,154,12,1982,17,11,12,13,14,15,16,16,16,16,16,16,0,0,3
"797",2188,569,899,-331,862,14455,5783,-148,582,287,941,473,880,1,20,1,12,4,5,0,NA,19.3101463317871,12,1980,19,10,11,12,12,12,12,12,12,12,12,12,12,12,3
"798",2191,422,340,1138,368,17425,10461,-1232,-237,1494,251,-676,750,2,41,1,14,4,1,0,0,117.899169921875,20,1982,17,10,11,12,12,13,14,14,15,15,15,15,0,0,3
"799",2193,252,-1981,-1123,-1329,8321,4953,-92,342,-1459,166,-167,-607,1,24,1,12,4,3,1,0,20.9729652404785,12,1981,18,10,11,12,12,12,12,12,12,12,12,12,12,0,3
"800",2194,-1984,-2178,-1726,-2151,12200,2048,-1613,-901,-1164,-1059,-2432,-1731,2,18,1,12,4,2,1,NA,54.7120819091797,12,1983,16,10,11,12,12,12,12,12,12,12,12,0,0,0,3
"801",2198,-11,-585,102,-1321,21473,7976,-1102,-1176,-595,-192,-830,-365,2,26,1,12,4,3,1,0,49.335205078125,13,1980,19,11,12,13,13,14,15,15,16,16,16,17,17,17,3
"802",2199,-155,-123,-1514,-287,14954,4448,-824,-884,-55,9,69,562,1,28,1,12,4,3,1,0,2.58442163467407,13,1982,17,10,11,11,11,11,11,11,11,11,11,11,0,0,3
"803",2204,443,768,461,355,27476,11742,-1213,-383,1572,-12,-665,-85,2,26,1,16,4,1,1,1,301.530670166016,15,1981,18,11,12,13,14,15,16,17,17,17,17,17,18,0,3
"804",2205,1977,1401,1258,1346,27647,12502,127,-464,1613,1515,1849,891,1,28,1,18,4,2,1,1,157.132827758789,20,1981,18,11,12,13,14,15,16,16,17,18,18,18,18,0,3
"805",2206,593,819,678,467,21448,10258,-694,13,315,201,224,1034,1,30,1,18,4,2,1,1,185.264144897461,20,1983,16,11,12,13,14,15,16,17,17,18,18,0,0,0,3
"806",2208,1671,1389,1202,1134,21066,10706,89,-620,1664,189,-4,917,1,31,1,16,4,2,1,1,72.9494400024414,16,1980,19,10,11,12,13,14,15,16,16,17,18,18,18,18,3
"807",2209,122,490,466,496,25982,10487,-1032,-637,573,315,-49,487,1,33,1,16,4,2,1,1,62.0261154174805,16,1982,17,10,11,12,13,14,15,16,16,16,16,16,0,0,3
"808",2212,142,605,407,246,24600,7751,-444,407,524,141,743,-170,1,24,1,14,4,1,0,1,57.1794891357422,95,1982,17,11,12,12,12,12,12,12,12,12,12,12,0,0,3
"809",2213,887,294,582,425,19039,10014,-1493,-372,403,156,10,422,1,24,1,12,4,3,0,1,74.0758666992188,NA,1983,16,11,12,13,14,15,16,0,0,0,0,0,0,0,3
"810",2217,-302,-740,-580,-347,16286,9096,-626,-781,-349,-590,-621,-368,2,21,1,11,4,1,0,1,44.1987800598145,NA,1980,19,9,9,9,9,9,9,9,9,9,10,11,12,12,3
"811",2218,-549,-2040,-522,-1429,18291,5351,-1693,-606,-224,-1223,-1559,-1045,1,34,1,18,4,1,1,1,102.719253540039,18,1982,17,10,11,12,13,13,14,0,0,0,0,0,0,0,3
"812",2221,-426,431,-803,-733,21357,8717,-991,-374,235,-991,-1338,-1626,1,30,1,16,4,1,1,1,90.0882720947266,18,1981,18,9,9,9,9,9,9,9,9,9,9,9,9,0,3
"813",2225,666,-625,-323,420,9008,3404,-558,-435,-609,170,779,-323,1,28,1,12,4,2,1,1,52.094482421875,10,1983,16,10,10,11,11,11,11,11,11,11,11,0,0,0,3
"814",2226,96,1059,55,523,23958,9841,-739,630,525,549,917,1265,1,31,1,14,4,1,1,0,126.232467651367,12,1983,16,11,12,12,12,12,12,12,12,12,12,0,0,0,3
"815",2229,-1087,-1109,-1428,-1221,16242,7284,-1167,-1170,-678,-782,-1213,-1493,1,25,1,12,4,3,0,1,53.4883346557617,12,1983,16,9,9,9,9,9,9,9,9,9,9,0,0,0,3
"816",2230,-1445,-150,-1192,-1430,13816,5290,-1239,-1315,-661,-1295,-1036,-1483,1,25,1,12,4,3,0,1,0.583509087562561,12,1983,16,10,11,11,11,11,11,11,11,11,11,0,0,0,3
"817",2232,204,312,271,862,21287,9519,-535,-661,1261,-217,-314,143,2,17,1,12,4,2,0,1,132.3388671875,8,1981,18,11,12,13,13,13,13,13,13,13,13,13,13,0,3
"818",2234,1169,346,381,144,12749,5349,-1188,-394,377,509,880,468,1,25,1,14,4,2,1,1,63.1334495544434,11,1981,18,10,11,11,11,11,11,11,11,11,11,11,11,0,3
"819",2236,373,1353,-6,920,24713,9351,-472,-678,1958,91,-1200,887,2,27,1,16,4,2,1,1,93.2976150512695,16,1981,18,11,12,13,14,15,16,17,18,18,18,18,18,0,3
"820",2237,345,-742,71,200,22376,5442,-970,-892,-406,-382,-1055,-1975,1,27,1,16,4,1,1,1,77.5133514404297,20,1983,16,11,12,13,14,14,14,15,15,16,16,0,0,0,3
"821",2242,-190,-617,-882,-423,18022,5446,-1040,-790,-1234,-121,-358,-968,1,24,1,9,2,2,1,1,39.6930770874023,6,1980,19,8,8,8,8,8,8,8,8,8,8,8,8,8,3
"822",2243,-1458,-1402,-1287,-1690,13606,4039,-1960,-1293,-1111,-1378,-746,-1846,2,27,1,9,2,2,1,1,39.6930770874023,6,1983,16,9,9,9,9,9,9,9,9,9,9,0,0,0,3
"823",2247,94,-142,-135,-166,22363,11132,-1243,-403,432,-652,-283,20,2,29,1,12,2,2,1,0,123,14,1982,17,11,12,12,12,12,12,12,12,12,13,14,0,0,3
"824",2249,-384,-5,-584,145,18901,10360,-543,-1256,1180,-502,-998,1220,2,25,1,12,4,1,1,1,63.8843994140625,14,1980,19,11,12,13,13,13,13,13,13,14,15,16,16,16,3
"825",2250,886,676,1002,543,18981,8352,103,404,862,1492,727,479,1,21,1,12,4,2,0,1,38.0506439208984,12,1981,18,10,11,12,13,14,15,15,0,0,0,0,0,0,3
"826",2252,503,1737,952,1424,31807,12977,-1250,-453,2212,527,-71,1863,1,27,1,13,4,2,0,1,42.0743827819824,NA,1981,18,11,12,13,14,15,16,16,16,16,16,16,16,0,3
"827",2253,855,1587,1256,1240,30623,12271,-767,-172,1214,256,159,527,1,28,1,13,4,2,0,1,52.137393951416,NA,1982,17,11,12,13,14,15,16,16,16,16,16,16,0,0,3
"828",2254,32,-296,8,27,18686,7617,-487,411,139,-76,-921,-12,1,29,1,12,4,2,1,1,70.1601943969727,12,1981,18,10,11,12,12,13,13,13,13,13,13,13,13,0,3
"829",2255,-685,39,-887,-91,23664,5386,-1199,-584,763,-509,-600,-486,1,18,1,12,4,4,0,1,59.0032234191895,12,1981,18,11,12,12,12,12,12,12,12,12,12,12,12,0,3
"830",2256,-324,-361,-1296,-609,17009,5371,-1039,-1348,17,-501,-652,-489,1,21,1,12,4,4,0,1,8.75263690948486,12,1983,16,11,11,11,11,11,11,11,11,11,11,0,0,0,3
"831",2261,644,-587,585,-749,14524,5573,-221,460,132,298,714,-98,1,22,1,13,4,3,0,1,39.8003578186035,11,1980,19,11,12,12,12,12,12,12,12,12,12,12,12,12,3
"832",2264,-1161,-1997,-1682,-1192,7004,2718,-1879,-1627,-2058,-1407,-2064,-715,1,22,1,12,4,5,1,1,7.29386377334595,12,1983,16,10,11,12,12,12,12,12,12,12,12,0,0,0,3
"833",2267,-258,-640,-723,-144,29949,11198,-851,-675,464,-420,-1112,-695,1,22,1,13,4,3,0,1,35.4019355773926,NA,1982,17,10,10,10,10,10,10,10,10,10,10,10,0,0,3
"834",2271,-95,-16,-497,-101,19646,8568,-1401,-1593,944,-463,-1170,-83,2,31,1,12,4,2,1,1,127.017852783203,16,1981,18,10,11,12,13,14,15,16,16,16,16,16,16,0,3
"835",2272,787,-140,-260,-125,10040,7149,-1317,149,450,94,-384,-1417,1,25,1,16,4,1,0,1,25.3177471160889,16,1983,16,10,11,11,11,11,12,12,12,12,12,0,0,0,3
"836",2273,1248,109,719,212,17866,6928,264,485,271,521,1109,544,1,18,1,10,4,3,0,1,17.1817398071289,12,1981,18,10,11,12,12,12,12,12,12,12,12,12,12,0,3
"837",2275,606,638,1001,1070,16977,6351,-675,-46,1119,387,527,682,1,22,1,9,4,2,1,1,48.4899215698242,12,1980,19,10,11,12,12,13,14,14,15,15,16,16,16,16,3
"838",2278,-680,-141,-830,-866,12240,3708,-1479,-1719,-247,-1450,-1556,-697,1,18,1,12,2,3,0,1,5.6857271194458,6,1982,17,9,9,9,9,9,9,9,9,9,9,9,0,0,3
"839",2279,-515,65,-862,199,13783,3046,-1463,-1177,-579,-276,-1060,-529,1,24,1,13,4,1,0,1,19.8465385437012,12,1983,16,11,12,12,12,12,12,12,12,12,12,0,0,0,3
"840",2283,-1991,-2677,-2634,-2053,6115,2646,-1220,-1744,-1350,-1460,-1989,-1758,2,23,1,10,1,2,0,1,2.5,12,1982,17,8,8,8,8,8,8,8,8,8,8,8,0,0,3
"841",2289,1425,640,955,1403,20797,3703,-495,238,775,628,1053,796,1,31,1,17,4,2,1,0,65.7617721557617,14,1982,17,11,11,11,11,11,11,11,11,11,11,11,0,0,3
"842",2292,1026,300,638,781,12807,10377,-808,703,337,69,1500,-10,1,24,1,12,4,2,0,1,34.1682319641113,12,1980,19,10,11,12,12,13,13,13,14,14,15,15,15,15,3
"843",2293,66,-319,-1064,-312,12727,3940,-604,-756,-306,-258,-718,-1896,2,20,1,14,4,3,0,1,49.1335945129395,12,1980,19,10,11,12,12,12,12,12,12,12,12,12,12,12,3
"844",2295,-660,-201,-458,-268,14845,1446,-61,-949,-338,-262,-15,-827,1,28,1,14,4,2,0,1,26.3610992431641,8,1981,18,9,9,9,9,9,9,9,9,9,0,0,0,0,3
"845",2296,214,-225,239,-359,18158,5668,-1082,-532,486,-1388,-304,-1067,1,26,1,18,4,3,1,1,36.1289405822754,16,1983,16,11,12,12,12,12,12,12,12,12,13,0,0,0,3
"846",2297,-764,-721,-751,-1182,13892,6997,-960,-1325,-904,-2160,-1071,-1076,1,27,1,12,4,2,1,1,56.8576545715332,12,1981,18,11,12,13,14,14,14,14,14,14,14,14,14,0,3
"847",2304,231,207,-130,830,16743,8121,-781,-675,1394,66,1020,380,2,19,1,1,4,2,1,1,26.4831390380859,10,1980,19,11,12,13,14,14,15,16,17,18,18,18,18,18,3
"848",2305,-10,-162,-527,-1048,13894,6002,-612,-34,-121,-407,193,483,1,21,1,1,4,2,1,1,16.520902633667,10,1982,17,11,11,11,11,11,11,0,0,0,0,0,0,0,3
"849",2308,1134,812,1456,1206,15428,9285,-704,-511,531,497,360,-385,1,19,1,14,4,2,0,1,17.1645736694336,12,1983,16,11,11,11,11,11,12,13,14,15,15,0,0,0,3
"850",2310,31,915,545,887,28506,8182,-646,660,627,567,829,621,1,17,1,9,4,3,1,1,39.2949447631836,10,1980,19,11,12,12,12,12,12,12,12,12,12,12,12,12,3
"851",2311,-934,-1883,-1575,-969,13669,3623,-1150,-883,244,-485,-1475,-679,2,20,1,9,4,3,1,1,20.3829326629639,10,1983,16,11,12,13,14,15,15,15,15,15,15,0,0,0,3
"852",2312,69,715,-160,-217,20983,4224,-1350,401,-214,338,-422,286,1,17,1,10,4,4,1,1,26.7423553466797,11,1981,18,9,9,9,9,9,9,9,0,0,0,0,0,0,3
"853",2313,56,95,-116,-446,22367,4962,-1612,-876,-136,-922,-536,-637,1,19,1,10,4,4,1,1,30.2305488586426,11,1982,17,10,10,11,11,11,11,11,11,0,0,0,0,0,3
"854",2316,-1262,-599,-1515,-1329,15742,5608,-1660,-1705,-656,-1032,-1524,-669,1,28,1,7,1,6,1,1,38.1911773681641,9,1982,17,10,11,11,12,12,13,14,15,15,15,15,0,0,3
"855",2318,-159,-132,115,619,20408,5683,-648,-1021,318,-312,67,-1302,2,19,1,11,4,2,0,1,29.6926078796387,12,1980,19,11,12,13,13,13,14,14,14,14,14,14,14,15,3
"856",2319,-663,131,9,402,23747,7388,-363,-643,288,-453,-340,37,1,21,1,11,4,2,0,1,10,12,1982,17,11,12,12,12,12,12,12,12,12,12,12,0,0,3
"857",2320,-1068,-698,-755,265,6610,3590,-905,-1010,-1115,-509,-899,88,2,20,1,12,4,3,0,1,22.2846450805664,15,1980,19,11,12,12,12,12,12,12,12,12,13,14,14,14,3
"858",2323,-1425,-1591,-2222,-2075,11254,3393,-2115,-1790,-947,-2474,-1465,-1411,2,29,1,15,4,2,0,1,11.0511102676392,10,1980,19,9,9,9,9,9,9,9,9,9,9,9,9,9,3
"859",2324,-1381,-1436,-1404,-1027,11703,4990,-1555,-2116,-1558,-1859,-2266,-2116,2,31,1,15,4,2,0,1,10.5053358078003,10,1982,17,9,9,9,9,9,9,9,9,9,9,9,0,0,3
"860",2325,223,-135,463,876,23454,1730,-483,-689,-78,-263,37,-1527,1,27,1,12,4,1,1,1,51.4460678100586,12,1983,16,8,8,8,8,8,8,8,8,8,8,0,0,0,3
"861",2326,26,-671,-751,-1743,5618,683,-773,-543,175,-958,-963,-1753,1,29,1,13,4,1,1,1,18.2977046966553,15,1981,18,10,11,12,13,13,14,14,15,16,17,17,17,0,3
"862",2327,-928,-501,-96,-404,22447,3310,-941,-91,-294,-125,-972,-1161,1,29,1,12,4,1,0,1,15.0109996795654,14,1982,17,11,12,12,12,12,12,12,12,12,12,12,0,0,3
"863",2328,1826,1579,737,1293,22486,9070,-1178,-495,2126,837,136,1278,1,33,1,14,4,1,1,1,55.75,20,1982,17,11,12,13,14,15,16,17,17,18,19,20,0,0,3
"864",2329,1117,1487,-316,437,21064,35,-541,-442,1274,192,796,-730,1,32,1,20,4,2,1,1,139.462173461914,20,1981,18,10,11,12,13,14,15,16,16,16,16,16,16,0,3
"865",2331,1666,688,251,670,15508,7350,-405,-529,473,852,-158,1566,1,27,1,14,4,2,1,1,84.7500839233398,16,1982,17,10,11,12,13,14,15,16,16,16,16,16,0,0,3
"866",2333,130,163,208,747,19409,10768,-787,-690,493,-73,-240,822,1,30,1,14,4,1,1,1,85.8544845581055,13,1981,18,11,12,13,14,15,16,17,17,17,17,17,17,0,3
"867",2337,1274,1016,656,1397,23059,11025,-265,-7,1758,763,-286,398,2,20,1,13,4,3,1,1,20,16,1982,17,11,12,12,13,14,14,14,15,16,16,16,0,0,3
"868",2339,643,1550,1251,1116,23001,11337,-753,-429,2029,330,-199,327,2,20,1,12,4,3,0,1,41.945930480957,NA,1980,19,12,12,12,12,12,12,12,12,12,12,12,12,12,3
"869",2340,1,846,255,780,17129,6402,-994,354,1283,400,-399,787,2,23,1,12,4,3,0,1,30,NA,1982,17,11,12,12,12,12,12,12,12,12,12,12,0,0,3
"870",2342,579,1214,-401,397,20903,9824,-1395,-242,2011,169,-866,905,1,22,1,12,4,3,1,1,33.0805969238281,12,1981,18,11,12,12,12,12,12,12,12,12,12,0,0,0,3
"871",2345,339,-95,-685,-143,22249,11060,-1498,-1320,653,-585,-847,-329,2,35,1,14,4,1,1,1,103.893745422363,12,1981,18,11,12,13,14,15,16,16,16,16,16,16,16,0,3
"872",2346,1003,1123,371,641,26076,5325,-461,-227,1418,335,155,1860,1,23,1,12,4,2,1,1,114.386497497559,16,1981,18,11,12,13,14,15,16,16,16,16,16,16,16,0,3
"873",2348,-419,-375,-59,678,21665,9753,-884,-644,-24,-368,-443,-335,2,29,1,16,4,1,1,1,46.655876159668,12,1983,16,11,12,13,14,15,16,16,16,16,16,0,0,0,3
"874",2350,733,1018,155,784,20523,10554,-751,-378,2062,-233,-465,1012,1,23,1,12,4,3,1,1,55,12,1982,17,11,12,12,13,14,15,16,16,16,16,16,0,0,3
"875",2352,155,1055,545,555,24616,10287,-119,-131,1198,1145,263,1519,1,27,1,16,4,1,0,1,46.9163017272949,16,1980,19,11,12,13,13,13,13,13,13,13,13,13,13,13,3
"876",2360,-1145,-365,-1356,-700,24649,5086,-1374,-1530,-746,-2027,-855,-1927,1,20,1,10,1,3,0,1,4.18076038360596,12,1983,16,8,8,8,9,9,9,9,9,9,9,0,0,0,3
"877",2362,-975,-384,-774,-552,25126,3887,-1798,-1433,-110,-1482,-698,-1545,1,20,1,13,1,4,0,1,31.988395690918,NA,1983,16,10,11,12,12,12,12,12,12,0,0,0,0,0,3
"878",2363,-172,716,-301,-154,28632,8794,-921,-792,817,-75,-826,-1010,1,34,1,12,1,2,1,1,84.5110168457031,12,1980,19,11,12,12,12,12,12,12,12,12,12,12,12,12,3
"879",2367,20,70,-915,112,17037,9525,-1001,-1037,131,280,-1159,534,1,29,1,12,4,2,0,1,91.067138671875,12,1980,19,10,10,10,10,10,10,10,10,10,10,10,10,10,3
"880",2368,104,365,-410,531,21241,10092,-811,-1100,716,-224,-1228,1272,2,31,1,12,4,2,0,1,266.684204101562,12,1982,17,11,12,13,14,15,15,15,15,15,15,15,0,0,3
"881",2377,1945,1788,499,1157,20583,4663,-291,384,1507,988,1541,1326,1,31,1,16,4,3,1,0,41.3318939208984,14,1983,16,11,12,13,13,14,14,15,15,16,16,0,0,0,3
"882",2378,-6,133,-92,478,38350,14786,-769,-1134,1150,-51,-289,701,2,17,1,13,4,4,0,0,81.4695892333984,NA,1980,19,11,12,13,14,15,16,17,17,17,17,17,17,17,3
"883",2382,29,957,232,878,12368,6976,-687,-604,1325,201,-94,352,1,27,1,14,2,2,1,1,72.1448516845703,14,1981,18,10,11,12,12,12,12,12,12,12,12,12,12,0,3
"884",2383,202,1050,79,701,24596,9643,-541,-507,871,-46,-664,-424,1,25,1,14,1,2,1,1,21.1922569274902,14,1981,18,11,12,12,13,13,14,15,15,16,16,16,16,0,3
