"","recid","ASVAB_GS","ASVAB_AR","ASVAB_WK","ASVAB_PC","ASVAB_NO","ASVAB_CS","ASVAB_AI","ASVAB_SI","ASVAB_MK","ASVAB_MC","ASVAB_EI","ASVAB_AO","sex","moth_age_birth","cross_sction","med","race","nsib","nuclear","urban","income","fed","yob","AGE_ASVAB","acgrd_1","acgrd_2","acgrd_3","acgrd_4","acgrd_5","acgrd_6","acgrd_7","acgrd_8","acgrd_9","acgrd_10","acgrd_11","acgrd_12","acgrd_13","_merge"
"29",106,-207,-315,-291,-377,17193,4182,-893,-750,-340,-587,264,-579,1,32,1,16,4,2,1,1,99.0181427001953,12,1981,18,11,12,13,13,13,13,13,13,13,13,13,13,0,3
"30",107,477,925,113,1698,18505,8207,-992,-1035,1600,115,-129,34,2,28,1,16,4,4,1,1,153.005996704102,19,1982,17,11,12,13,14,15,16,16,16,16,16,16,0,0,3
"31",109,121,685,54,1338,23129,10202,-1173,-1396,999,-288,-1135,-455,2,25,1,12,4,4,1,1,78.8000030517578,12,1982,17,11,12,13,14,15,16,16,16,16,16,16,0,0,3
"32",119,-1017,-429,-245,-522,8825,4039,-723,-396,-1038,-608,-732,-1427,1,28,1,15,4,2,1,1,264.413818359375,12,1982,17,11,12,13,14,15,15,15,15,15,15,15,0,0,3
"33",121,67,449,266,950,20329,8523,-656,-734,610,-357,-641,-1084,1,27,1,14,4,2,1,1,83.5700225830078,14,1981,18,10,11,12,13,13,13,13,13,13,13,13,13,0,3
"34",128,141,-16,420,-48,25897,9729,-1258,-1197,771,55,-921,-622,2,26,1,16,4,2,0,1,177.5,18,1982,17,11,12,13,14,15,16,17,17,0,0,0,0,0,3
"35",131,1526,1658,929,1625,18959,11294,100,870,1513,181,739,1320,1,31,1,16,4,1,1,1,32.7078857421875,16,1980,19,11,12,13,13,13,13,13,13,13,13,13,13,13,3
"36",132,781,569,273,688,31107,5806,-562,-21,783,228,-686,-1647,1,30,1,16,4,2,1,1,88.4988784790039,16,1983,16,11,12,13,14,15,16,16,16,16,16,0,0,0,3
"37",133,-401,1203,-282,611,29478,10836,-1194,-1324,1185,-202,-1198,-894,1,27,1,16,4,2,1,1,54.8837280273438,16,1982,17,11,11,11,12,13,13,13,13,13,13,13,0,0,3
"38",135,732,966,909,1407,20037,7401,-557,-229,1794,44,499,638,1,32,1,18,4,1,0,1,77.2405853271484,15,1981,18,11,12,13,14,15,16,17,18,18,18,18,18,0,3
"39",137,-554,747,-45,735,25979,6269,-510,-1416,585,-563,-738,-695,2,23,1,12,4,1,0,1,3.64747214317322,NA,1980,19,11,11,11,11,11,11,11,11,11,11,11,11,11,3
"40",142,687,180,-418,334,20099,8392,-1471,-1379,701,-175,-1054,-295,2,16,1,10,4,3,0,1,41.5168151855469,14,1981,18,11,12,12,12,12,12,12,12,12,12,12,12,0,3
"41",143,47,-738,-304,251,25620,11118,-1318,-650,177,-359,-1169,-68,1,19,1,12,1,2,1,1,85.2859115600586,14,1981,18,11,12,12,12,12,12,12,12,12,12,12,12,0,3
"42",144,616,-198,-754,673,13906,4958,-1413,-1791,738,-383,-1091,-5,1,22,1,16,1,3,0,1,74.5586166381836,12,1982,17,11,12,12,13,13,13,13,13,13,13,13,0,0,3
"43",151,-1581,-1089,-728,-1045,15427,6655,-1643,-1553,-726,-1668,-1540,-2016,2,18,1,11,1,3,0,1,2.5,11,1982,17,11,12,12,12,12,12,12,12,12,12,12,0,0,3
"44",154,1501,1393,1460,1381,25768,5377,-671,-315,1755,277,1078,-642,1,29,1,19,4,1,1,1,301.335174560547,20,1980,19,11,12,12,12,12,12,12,12,12,12,12,12,12,3
